yr,unemployment_rate,employment_rate,participation_rate
1976,7.1,57.17,61.52
1977,8.07,56.9,61.89
1978,8.37,57.5,62.78
1979,7.5,58.88,63.66
1980,7.52,59.4,64.24
1981,7.62,60.08,65.03
1982,11.1,57.34,64.5
1983,12.0,56.97,64.73
1984,11.38,57.67,65.07
1985,10.51,58.73,65.64
1986,9.61,59.75,66.1
1987,8.8,60.6,66.45
1988,7.78,61.67,66.85
1989,7.51,62.18,67.24
1990,8.15,61.68,67.16
1991,10.32,59.7,66.56
1992,11.22,58.33,65.71
1993,11.38,57.93,65.37
1994,10.39,58.38,65.16
1995,9.47,58.68,64.82
1996,9.61,58.47,64.67
1997,9.09,58.96,64.83
1998,8.29,59.74,65.14
1999,7.57,60.6,65.52
2000,6.83,61.29,65.79
2001,7.22,61.17,65.93
2002,7.68,61.7,66.82
2003,7.59,62.41,67.55
2004,7.15,62.68,67.49
2005,6.75,62.63,67.16
2006,6.45,62.86,67.21
2007,6.16,63.3,67.49
2008,6.31,63.32,67.58
2009,8.48,61.59,67.28
2010,8.16,61.6,67.08
2011,7.62,61.72,66.84
2012,7.44,61.79,66.73
2013,7.21,61.88,66.68
2014,7.06,61.51,66.18
2015,7.0,61.42,66.06
2016,7.05,61.17,65.81
2017,6.42,61.75,66.0
2018,5.83,61.94,65.77
2019,5.68,62.23,65.98
2020,9.74,58.16,64.39
2021,7.48,60.56,65.47
2022,5.25,62.06,65.51
2023,5.39,62.25,65.79
2024,6.37,61.3,65.45
2025,6.86,60.82,65.27
2026,6.68,60.64,64.96
